status	path	old_sha256	new_sha256
ADDED	06_ROUND6_START_HERE.md		bbdb255c312b7d3376386db6e4c2fb3bc24b08a6549f0136c17e25c849c6e347
ADDED	backend/hr_data/providers/round6_chain_quality.py		9066a3c13aeff24699dc6c24914b7aecfbd77b888b206bab3436b0e8ac8a4abb
ADDED	backend/hr_data/tests/test_round6_recruitment_onboarding_payroll_history.py		350015352dd4e96b047d29ae99ba248341bd12c650236edeabc98ada8f0c0040
ADDED	backend/hr_payroll/migrations/0013_seal_payroll_result_authority.py		faab09b15b8bbcff3ec01a1fcf484c82292c08d4183df4325d630b0f6e510dd7
ADDED	backend/hr_payroll/tests/test_reversal_authority_service.py		ec2a5a06091270087497433e0dbe6f3fae1c72d302ed0e1e0c3329a4142afa39
ADDED	docs/reports/HR_ROUND6_FULL_CODE_CLOSURE_REPORT_2026-09-15.md		15fc592ad367ab457dc917776a5946663da8c51fcdac987fd910939e87cd73d6
ADDED	tests/round6/test_round6_full_closure_contracts.py		99eca1b03f30084d0f809e4f23a9aef8e0dea93677910029d728b06add6e6e79
MODIFIED	00_CHATGPT_START_HERE.md	b4a9572e80e6c4ec2bcff3445eba5bd767c01bb3de59ba3017a8d13760ccab30	a47153cbf1cec2ae1bac6a74a5127dd9ab1e0e54491f14395f3117c745a8b32c
MODIFIED	backend/hr_data/providers/formal_facts.py	816725c1b1ea40e8b548dec5f5e44b37f83a0a16913d875214b5dade30871f5a	588d654466b2be76b762b364d8388c3d7e8ce57cda753b816786a1ffb64ff1e9
MODIFIED	backend/hr_data/services/asof_service.py	63a2f3e4e85e9a9942bf0e6b15dc070ee1d827d6dbf0cf9d2d559dcdcac914bb	cbfc310404d16206558f3de9217a8ab06714317311f2124ff39d77fe008342eb
MODIFIED	backend/hr_data/services/evaluation_router.py	ee93bf325d2305fc5a67c5155a1e95e739becadcdd22525ee8ee2f14f13ed1a0	c94ab46e2f80c6f5998fa07c64bc6ee2b5bbd27162201a53b77c55e5d94b8a00
MODIFIED	backend/hr_data/services/formal_fact_chain_service.py	f5ccf456a0b57e96e70cc7152f805672998f98da6b3e28aea365f337653ec62d	b2ad1b1ea79608d218c570eddf7b31ec400a8f8622cd5cf12573670b7e1f8285
MODIFIED	backend/hr_data/services/formal_fact_evaluation_service.py	6f968c01b25886c90d52ffd95da50c580a3f5fb671cdfc4292eee4351abae8c2	3717df60dcaa649df9334f9a98eb7e97b7fe2e12f4ef51c051740bf2c8b01ae6
MODIFIED	backend/hr_data/services/formal_fact_evidence_guard.py	02c4e9f74d0e33741161bc184de6177882ba98376e541e0909d79f3cf32883fe	acd1af8b6b5d4ba22679d7dbcead5dc2c3f6f2356f3fc5a9cebee96ee7805702
